cvss,exploit_available,service_criticality,exposure,mitre_impact,actual_risk_label
3.745401188473625,0,2,0,4,1
9.50714306409916,0,5,0,2,2
7.319939418114051,1,5,1,1,2
5.986584841970366,0,3,0,0,0
1.5601864044243652,0,4,0,1,0
1.5599452033620265,1,5,0,0,1
0.5808361216819946,0,4,1,2,1
8.661761457749352,1,1,1,5,3
6.011150117432088,0,4,1,4,2
7.080725777960454,0,2,0,2,1
0.20584494295802447,0,2,0,1,0
9.699098521619943,0,5,0,0,1
8.324426408004218,1,4,1,1,2
2.1233911067827616,0,5,0,4,1
1.8182496720710062,0,3,0,2,0
1.8340450985343382,0,2,1,1,1
3.0424224295953772,0,5,1,1,1
5.247564316322379,1,3,0,4,2
4.319450186421157,0,5,0,0,1
2.9122914019804194,0,4,0,1,1
6.118528947223795,1,4,1,4,3
1.3949386065204183,0,4,1,0,1
2.9214464853521815,1,4,0,5,2
3.663618432936917,0,1,0,0,0
4.56069984217036,0,3,1,5,2
7.851759613930136,0,3,1,2,2
1.9967378215835974,1,4,0,4,2
5.142344384136116,1,1,0,0,1
5.924145688620425,0,4,0,5,2
0.46450412719997725,0,1,0,5,1
6.075448519014383,0,4,1,2,2
1.7052412368729153,0,2,1,3,1
0.6505159298527952,0,2,1,4,1
9.488855372533333,1,5,0,3,3
9.656320330745594,0,4,1,0,2
8.08397348116461,0,3,0,4,2
3.0461376917337066,0,5,0,2,1
0.9767211400638387,0,2,0,0,0
6.842330265121569,0,4,0,4,2
4.4015249373960135,0,5,1,4,2
1.2203823484477883,1,4,0,3,1
4.951769101112702,0,2,0,0,0
0.34388521115218396,0,5,0,2,1
9.093204020787821,0,2,0,2,1
2.587799816000169,1,1,0,0,0
6.62522284353982,1,2,0,0,1
3.1171107608941098,0,4,1,5,2
5.200680211778108,1,3,0,1,1
5.4671027934327965,0,2,0,3,1
1.8485445552552704,0,3,0,0,0
9.695846277645586,0,1,1,0,1
7.7513282336111455,0,5,0,1,1
9.394989415641891,0,5,0,1,1
8.948273504276488,1,3,0,4,2
5.978999788110851,1,5,0,2,2
9.218742350231167,0,2,0,3,1
0.884925020519195,0,3,1,4,1
1.959828624191452,0,4,1,0,1
0.45227288910538066,0,2,0,1,0
3.2533033076326436,0,2,1,5,2
3.8867728968948203,0,2,1,2,1
2.713490317738959,0,4,0,4,1
8.287375091519294,1,1,0,5,2
3.567533266935893,0,5,0,2,1
2.8093450968738076,0,3,0,5,1
5.426960831582485,1,1,1,1,1
1.4092422497476265,0,3,1,4,1
8.021969807540398,0,5,1,4,3
0.7455064367977082,0,4,1,2,1
9.868869366005173,0,2,0,5,2
7.722447692966574,1,2,0,1,1
1.987156815341724,0,4,1,0,1
0.05522117123602399,0,1,0,4,0
8.154614284548341,1,1,1,0,2
7.068573438476172,1,3,1,1,2
7.2900716804098735,1,4,1,4,3
7.712703466859457,0,1,1,4,2
0.7404465173409036,0,4,0,5,1
3.5846572854427263,1,5,1,0,2
1.1586905952512971,1,2,1,5,2
8.631034258755935,0,2,0,3,1
6.232981268275579,0,2,1,0,1
3.308980248526492,0,4,0,0,0
0.6355835028602363,1,4,1,3,2
3.109823217156622,0,3,0,1,0
3.2518332202674705,0,2,0,1,0
7.29606178338064,0,3,0,4,2
6.3755747135521315,0,2,1,2,1
8.872127425763265,1,3,0,5,3
4.722149251619493,0,3,0,2,1
1.195942459383017,1,5,0,4,2
7.13244787222995,1,3,1,2,2
7.607850486168974,0,4,0,0,1
5.612771975694963,0,3,0,0,0
7.70967179954561,0,2,1,3,2
4.937955963643907,1,3,0,3,2
5.227328293819941,0,1,1,4,1
4.275410183585496,0,2,0,4,1
0.2541912674409519,1,1,1,4,2
1.0789142699330445,0,2,0,0,0
0.3142918568673425,1,4,0,2,1
6.364104112637804,0,4,1,5,2
3.143559810763267,0,4,0,4,1
5.085706911647028,0,1,1,4,1
9.07566473926093,1,5,0,0,3
2.4929222914887497,0,2,0,5,1
4.103829230356297,1,4,0,0,1
7.555511385430487,1,2,1,5,3
2.2879816549162246,0,1,0,0,0
0.7697990982879299,1,5,0,2,1
2.8975145291376805,0,1,0,4,1
1.6122128725400442,0,2,0,1,0
9.29697652342573,0,5,0,1,1
8.08120379564417,1,5,1,4,3
6.334037565104235,0,1,0,4,1
8.714605901877178,0,4,1,4,2
8.036720768991145,0,2,0,4,1
1.8657005888603584,0,3,1,5,2
8.925589984899778,0,3,1,2,2
5.393422419156507,1,1,0,1,1
8.074401551640625,1,2,1,3,2
8.960912999234932,0,2,0,1,1
3.1800347497186388,1,1,1,1,1
1.1005192452767676,0,2,1,0,0
2.279351625419417,1,4,0,4,2
4.271077886262563,0,1,0,4,1
8.18014765922493,0,4,0,4,2
8.607305832563434,0,2,0,0,1
0.06952130531190703,1,1,0,2,1
5.107473025775658,0,2,0,2,1
4.17411003148779,0,1,0,3,1
2.2210781047073027,0,2,1,2,1
1.198653673336828,0,4,0,2,1
3.3761517140362796,0,4,0,4,1
9.429097039125192,1,2,1,5,3
3.2320293202075523,1,1,0,1,1
5.187906217433661,0,3,0,2,1
7.030189588951778,1,4,0,2,2
3.63629602379294,0,4,1,0,1
9.717820827209607,1,3,1,3,3
9.624472949421111,1,2,0,5,3
2.5178229582536416,0,1,1,0,0
4.972485058923855,1,2,0,4,2
3.0087830981676964,0,5,1,1,1
2.848404943774676,0,4,1,3,1
0.36886947354532795,1,5,1,0,1
6.095643339798968,0,4,0,2,1
5.026790232288615,0,4,0,2,1
0.5147875124998935,0,5,0,3,1
2.7864646423661146,1,5,1,2,2
9.082658859666537,0,2,0,0,1
2.395618906669724,0,5,1,0,1
1.448948720912231,1,2,1,2,1
4.89452760277563,1,2,0,2,1
9.856504541106007,0,2,1,4,2
2.4205527151150044,0,4,1,1,1
6.721355474058786,0,4,1,3,2
7.616196153287175,0,5,1,0,1
2.3763754399239967,0,4,1,3,1
7.282163486118596,1,5,0,4,3
3.677831327192532,0,4,1,0,1
6.3230583059357945,0,1,0,4,1
6.335297107608947,0,1,1,4,2
5.357746840747585,1,5,1,5,3
0.902897700544083,0,4,0,2,1
8.35302495589238,1,4,1,5,3
3.2078006497173583,0,2,0,3,1
1.8651851039985423,0,3,0,3,1
0.40775141554763916,0,5,0,2,1
5.908929431882418,0,3,1,5,2
6.775643618422825,0,3,1,3,2
0.16587828927856152,0,5,1,5,2
5.12093058299281,0,4,0,2,1
2.2649577519793795,1,5,1,0,1
6.451727904094499,0,3,1,4,2
1.7436642900499144,1,4,0,4,2
6.90937738102466,0,1,0,5,1
3.867353463005374,0,5,0,3,1
9.367299887367345,0,5,1,5,3
1.3752094414599325,0,4,1,5,2
3.410663510502585,0,1,1,1,1
1.1347352124058907,0,1,0,4,1
9.246936182785628,0,4,1,2,2
8.77339353380981,0,2,0,5,2
2.579416277151556,0,5,0,1,1
6.59984046034179,1,5,1,1,2
8.172222002012159,1,3,0,4,2
5.5520081159946235,1,4,1,4,3
5.296505783560065,1,3,0,4,2
2.418522909004517,0,3,1,2,1
0.9310276780589921,0,1,0,1,0
8.972157579533267,1,5,0,3,3
9.004180571633304,0,3,0,2,1
6.33101457273268,0,1,0,0,0
3.390297910487007,0,4,1,5,2
3.492095746126609,0,3,0,4,1
7.259556788702394,0,5,1,1,2
8.971102599525771,1,3,1,5,3
8.870864242651173,0,4,0,2,1
7.798755458576238,0,3,0,0,1
6.420316461542877,1,5,1,2,2
0.8413996499504883,0,1,1,2,1
1.6162871409461377,0,5,1,3,1
8.985541885270793,0,1,0,5,2
6.0642905965958995,1,2,1,3,2
0.09197051616629648,1,5,0,2,1
1.014715428660321,0,5,1,0,1
6.635017691080558,1,4,1,1,2
0.05061583846218687,0,3,0,1,0
1.6080805141749865,1,1,0,5,1
5.487337893665861,1,1,0,4,2
6.918951976926932,1,4,0,4,2
6.519612595026006,0,4,1,1,1
2.242693094605598,1,3,0,2,1
7.121792213475358,1,3,0,2,2
2.3724908749680007,0,5,0,3,1
3.2539969815926773,1,2,1,5,2
7.464914051180242,0,3,1,3,2
6.496328990472147,1,4,0,4,2
8.49223410494178,0,3,0,1,1
6.576128923003433,1,1,1,2,2
5.683086033354716,0,2,1,1,1
0.9367476782809248,0,5,0,0,0
3.6771580305943354,0,1,0,1,0
2.6520236768172545,0,1,0,0,0
2.4398964337908358,0,2,0,3,1
9.730105547524456,0,5,0,3,2
3.930977246667604,0,4,1,4,2
8.920465551771134,0,5,0,1,1
6.311386259972629,0,3,1,1,1
7.948113035416484,1,1,0,0,1
5.026370931051921,0,3,1,3,2
5.769038846263591,1,4,1,0,2
4.925176938188639,1,3,0,3,2
1.952429877980445,0,5,0,0,0
7.224521152615053,0,3,1,3,2
2.807723624408558,1,4,0,0,1
0.2431596643145384,0,4,0,3,1
6.454722959071678,0,4,0,5,2
1.7711067940704894,0,5,1,0,1
9.404585843529143,1,4,0,1,3
9.539285770025874,0,1,1,4,2
9.148643902204485,0,4,0,5,2
3.7015870025544437,1,3,1,5,3
0.15456616528867428,1,3,0,0,0
9.283185625877254,0,3,1,4,2
4.281841483173143,0,5,0,1,1
9.666548190436696,1,3,1,5,3
9.636199770892528,0,5,1,1,2
8.530094554673601,0,5,0,3,2
2.944488920695857,0,4,0,4,1
3.8509772860192526,1,1,0,2,1
8.511366715168569,0,4,0,3,2
3.1692200515627764,1,4,1,4,2
1.6949274668609249,1,5,0,0,1
5.568012624583502,0,5,0,0,1
9.36154774160781,0,3,1,1,2
6.96029796674973,0,3,0,5,2
5.700611700893649,0,4,0,2,1
0.9717649377076854,0,2,0,0,0
6.150072266991698,1,2,1,4,2
9.900538501042632,0,3,1,5,3
1.4008401523652403,1,2,1,5,2
5.183296523637368,0,3,0,4,1
8.773730719279554,0,5,1,5,3
7.407686177542044,0,4,0,0,1
6.97015740995268,0,1,0,4,1
7.024840839871093,1,4,0,4,2
3.5949115121975517,0,3,0,1,0
2.9359184426449336,0,3,0,2,1
8.093611554785136,0,4,0,1,1
8.101133946791808,0,3,0,2,1
8.670723185801037,0,2,0,4,2
9.132405525564714,0,2,1,5,2
5.113423988609378,1,3,0,2,1
5.015162946871996,0,3,1,4,2
7.9829517896677515,1,2,0,4,2
6.4996393077776515,0,3,1,1,1
7.019668772577034,0,3,0,1,1
7.95792669436101,0,4,0,5,2
8.900053418175663,0,1,0,3,1
3.379951568515358,0,2,1,0,1
3.75582952639944,0,4,1,3,2
0.93981939840869,0,1,0,3,0
5.78280140996174,0,3,0,5,2
0.35942273796742086,0,3,1,2,1
4.655980181324601,1,4,1,5,3
5.426446347075766,0,3,0,5,2
2.865412521282844,0,5,0,4,1
5.9083326056901075,0,4,0,4,2
0.3050024993904943,0,1,1,4,1
0.37348188749214417,0,4,0,0,0
8.226005606596583,0,2,1,2,2
3.601906414112629,0,4,0,2,1
1.2706051265188478,0,3,0,4,1
5.222432600548044,0,3,0,3,1
7.699935530986108,0,5,1,0,1
2.1582102749684315,0,5,1,3,1
6.228904758190002,0,5,0,1,1
0.85347464993768,0,1,1,2,1
0.516817211686077,1,5,0,2,1
5.31354631568148,0,1,0,3,1
5.406351216101065,0,5,0,0,1
6.374299014982066,0,1,0,2,1
7.260913337226615,1,4,0,3,2
9.758520794625346,0,4,1,5,3
5.163003483011953,0,3,0,5,2
3.2295647294124596,0,1,1,0,0
7.9518619476870365,0,2,0,3,1
2.708322512620742,0,3,1,5,2
4.389714207056361,0,4,0,0,0
0.7845638134226596,1,1,0,4,1
0.2535074341545751,0,5,0,0,0
9.626484146779251,1,2,0,1,3
8.359801205122059,1,4,1,4,3
6.95974206093698,0,3,0,3,1
4.089529444142698,0,1,1,4,1
1.7329432007084578,0,2,0,4,1
1.5643704267108605,0,1,0,3,0
2.502428981645953,0,5,0,3,1
5.4922666470612045,1,3,1,5,3
7.145959227000623,1,1,1,1,2
6.601973767177313,0,4,0,3,1
2.7993389694594284,0,3,0,2,1
9.54865280663194,1,4,0,2,3
7.378969166957685,1,1,1,1,2
5.543540525114007,1,3,1,0,2
6.117207462343522,0,4,0,0,1
4.196000624277899,0,5,0,2,1
2.4773098950115746,0,5,0,3,1
3.559726786512616,0,1,1,1,1
7.578461104643691,0,3,0,0,1
0.14393488629755868,0,2,1,0,0
1.1607264050691624,0,3,0,4,1
0.4600264202175275,0,5,1,2,1
0.40728802318970136,0,4,1,3,1
8.554605840110073,0,2,1,1,1
7.036578593800237,0,1,1,0,1
4.741738290873252,0,2,1,4,2
