cvss,asset_importance,service_type,risk_level
3.745401188473625,3,SMB,MEDIUM
9.50714306409916,8,IOT,CRITICAL
7.319939418114051,7,DNS,HIGH
5.986584841970366,3,SMB,HIGH
1.5601864044243652,6,RDP,MEDIUM
1.5599452033620265,4,RDP,MEDIUM
0.5808361216819946,5,RDP,MEDIUM
8.661761457749352,5,WEB,HIGH
6.011150117432088,7,IOT,HIGH
7.080725777960454,5,RDP,HIGH
0.20584494295802447,3,SMB,LOW
9.699098521619943,10,DBMS,CRITICAL
8.324426408004218,5,IOT,HIGH
2.1233911067827616,7,RDP,HIGH
1.8182496720710062,5,DBMS,MEDIUM
1.8340450985343382,5,DNS,MEDIUM
3.0424224295953772,9,SMB,HIGH
5.247564316322379,3,RDP,HIGH
4.319450186421157,6,WEB,MEDIUM
2.9122914019804194,1,WEB,LOW
6.118528947223795,10,DNS,CRITICAL
1.3949386065204183,5,DBMS,MEDIUM
2.9214464853521815,8,FTP,MEDIUM
3.663618432936917,5,WEB,MEDIUM
4.56069984217036,9,IOT,HIGH
7.851759613930136,6,WEB,HIGH
1.9967378215835974,8,WEB,MEDIUM
5.142344384136116,10,SMB,CRITICAL
5.924145688620425,8,WEB,HIGH
0.46450412719997725,3,SSH,NONE
6.075448519014383,7,RDP,CRITICAL
1.7052412368729153,7,DNS,MEDIUM
0.6505159298527952,10,WEB,MEDIUM
9.488855372533333,6,FTP,HIGH
9.656320330745594,7,IOT,CRITICAL
8.08397348116461,2,FTP,MEDIUM
3.0461376917337066,9,WEB,MEDIUM
0.9767211400638387,10,WEB,MEDIUM
6.842330265121569,10,SSH,CRITICAL
4.4015249373960135,1,WEB,LOW
1.2203823484477883,1,WEB,NONE
4.951769101112702,3,RDP,HIGH
0.34388521115218396,3,FTP,NONE
9.093204020787821,1,SSH,MEDIUM
2.587799816000169,7,FTP,MEDIUM
6.62522284353982,4,SSH,MEDIUM
3.1171107608941098,10,FTP,HIGH
5.200680211778108,2,WEB,MEDIUM
5.4671027934327965,10,FTP,HIGH
1.8485445552552704,5,FTP,LOW
9.695846277645586,6,SSH,HIGH
7.7513282336111455,9,DNS,CRITICAL
9.394989415641891,4,DBMS,CRITICAL
8.948273504276488,2,SSH,MEDIUM
5.978999788110851,5,SSH,MEDIUM
9.218742350231167,3,SSH,HIGH
0.884925020519195,2,SMB,LOW
1.959828624191452,1,DNS,LOW
0.45227288910538066,10,SMB,HIGH
3.2533033076326436,2,SMB,MEDIUM
3.8867728968948203,6,SSH,MEDIUM
2.713490317738959,8,DBMS,HIGH
